D & B Used Cars|111 Old Benbrook Rd|817-555-5555



98765|2021|Tesla|Model 3|Car|Silver|25000|38000.0|
12345|2019|Toyota|Camry|Car|Blue|35000|22000.0|
67890|2023|Ford|F-150|Truck|Red|10000|45000.0|
34567|2020|Honda|Civic|Car|Gray|40000|18000.0|
23456|2018|Nissan|Altima|Car|White|50000|15000.0|
90123|2022|Mercedes-Benz|GLE|SUV|Black|20000|60000.0|
56789|2021|Audi|A4|Car|Silver|30000|30000.0|
11223|2019|Lexus|RX|SUV|White|40000|35000.0|
45678|2023|Porsche|911|Car|Red|8000|120000.0|
78901|2020|Lamborghini|Huracan|Car|Yellow|5000|250000.0|
23451|2022|Ferrari|488 GTB|Car|Red|7000|300000.0|
67892|2021|McLaren|720S|Car|Orange|6000|280000.0|
12342|2019|Bentley|Continental GT|Car|Black|10000|200000.0|
56783|2023|Rolls-Royce|Ghost|Car|Silver|12000|350000.0|
90124|2020|BMW|X5|SUV|Blue|18000|50000.0|
34568|2021|Tesla|Model 3|Car|Black|30000|35000.0|
78902|2019|Toyota|Camry|Car|Gray|45000|20000.0|
12343|2023|Ford|F-150|Truck|White|12000|48000.0|
56784|2020|Honda|Civic|Car|Red|50000|16000.0|
90125|2018|Nissan|Altima|Car|Silver|60000|13000.0|
34569|2022|Mercedes-Benz|GLE|SUV|Blue|25000|65000.0|
78903|2021|Audi|A4|Car|Black|35000|28000.0|
12344|2019|Lexus|RX|SUV|Silver|45000|32000.0|
45678|2023|Porsche|911|Car|Yellow|9000|130000.0|
90126|2020|Lamborghini|Huracan|Car|Green|6000|260000.0|
34570|2022|Ferrari|488 GTB|Car|Black|8000|320000.0|
78904|2021|McLaren|720S|Car|White|7000|290000.0|
12345|2019|Bentley|Continental GT|Car|Brown|12000|210000.0|
56786|2023|Rolls-Royce|Ghost|Car|Gold|13000|360000.0|
90127|2020|BMW|X5|SUV|Gray|20000|52000.0|
34571|2021|Tesla|Model 3|Car|White|35000|36000.0|
78905|2019|Toyota|Camry|Car|Blue|50000|21000.0|
12346|2023|Ford|F-150|Truck|Black|13000|50000.0|
56787|2020|Honda|Civic|Car|Silver|55000|15000.0|
90128|2018|Nissan|Altima|Car|Gray|65000|12000.0|
34572|2022|Mercedes-Benz|GLE|SUV|White|30000|68000.0|
78906|2021|Audi|A4|Car|Silver|40000|29000.0|
12347|2019|Lexus|RX|SUV|Black|50000|33000.0
12347|2019|Lexus|RX|SUV|Black|50000|33000.0
56789|2023|Porsche|911|Car|Red|8000|120000.0
78901|2020|Lamborghini|Huracan|Car|Yellow|5000|250000.0
23451|2022|Ferrari|488 GTB|Car|Red|7000|300000.0
67892|2021|McLaren|720S|Car|Orange|6000|280000.0
12342|2019|Bentley|Continental GT|Car|Black|10000|200000.0
56783|2023|Rolls-Royce|Ghost|Car|Silver|12000|350000.0
45678|2023|Porsche|911 Turbo S|Car|Black|10000|200000.0
78901|2020|Lamborghini|Aventador SVJ|Car|Orange|5000|500000.0
23451|2022|Ferrari|SF90 Stradale|Car|Red|8000|400000.0
67892|2021|McLaren|Speedtail|Car|Silver|7000|2500000.0
12342|2019|Bentley|Bentayga Speed|SUV|Black|15000|250000.0
56783|2023|Rolls-Royce|Phantom|Car|Black|15000|450000.0
45678|2023|Porsche|911 GT3 RS|Car|White|10000|220000.0
78901|2020|Lamborghini|Urus|SUV|Green|8000|220000.0
23451|2022|Ferrari|Roma|Car|Blue|6000|250000.0
67892|2021|McLaren|Artura|Car|Orange|5000|225000.0
12342|2019|Bentley|Flying Spur|Car|Black|12000|220000.0
56783|2023|Rolls-Royce|Cullinan|SUV|Black|18000|350000.0
45678|2023|Porsche|Taycan Turbo S|Car|Black|12000|185000.0
12345|2023|Ferrari|812 Competizione|Car|Red|5000|500000.0
56789|2023|Lamborghini|Huracan STO|Car|Yellow|6000|350000.0
90123|2022|McLaren|765LT Spider|Car|Black|3000|380000.0
34567|2020|Aston Martin|DB11|Car|Blue|10000|200000.0
78901|2021|Maserati|MC20|Car|White|8000|250000.0
23456|2019|Porsche|911 GT2 RS|Car|Red|10000|300000.0
67890|2022|Audi|RS7 Sportback|Car|Black|15000|150000.0
12345|2023|BMW|M8 Competition|Car|Blue|12000|150000.0
56789|2023|Mercedes-Benz|AMG GT Black Series|Car|Black|10000|350000.0
90123|2022|Bentley|Continental GT Speed|Car|Red|15000|250000.0
34567|2020|Rolls-Royce|Dawn|Car|White|10000|350000.0
78901|2021|Maserati|Ghibli Trofeo|Car|Black|15000|120000.0
23456|2019|Porsche|Panamera Turbo S E-Hybrid|Car|Silver|12000|180000.0
67890|2022|Audi|RS6 Avant|Car|Black|15000|150000.0
12345|2023|BMW|M5 Competition|Car|Blue|12000|130000.0
56789|2023|Mercedes-Benz|AMG GT 63 S|Car|Black|12000|170000.0
90123|2022|Bentley|Bentayga Speed|SUV|Red|15000|250000.0
34567|2020|Rolls-Royce|Cullinan|SUV|Black|15000|350000.0
78901|2021|Maserati|Levante Trofeo|SUV|Black|15000|130000.0
23456|2019|Porsche|Cayenne Turbo S E-Hybrid|SUV|Silver|12000|180000.0
67890|2022|Audi|RS Q8|SUV|Black|15000|150000.0
12345|2023|BMW|X5 M Competition|SUV|Blue|12000|120000.0
56789|2023|Mercedes-Benz|G63 AMG|SUV|Black|15000|170000.0
90123|2022|Bentley|Bentayga|SUV|Red|15000|180000.0
34567|2020|Rolls-Royce|Ghost|Car|White|15000|300000.0
78901|2021|Maserati|Quattroporte Trofeo|Car|Black|15000|130000.0
23456|2019|Porsche|Panamera Turbo S|Car|Silver|12000|170000.0
67890|2022|Audi|RS Q8|SUV|Black|15000|150000.0
12345|2023|BMW|X5 M Competition|SUV|Blue|12000|120000.0
56789|2023|Mercedes-Benz|G63 AMG|SUV|Black|15000|170000.0
90123|2022|Bentley|Bentayga|SUV|Red|15000|180000.0
34567|2020|Rolls-Royce|Ghost|Car|White|15000|300000.0
78901|2021|Maserati|Quattroporte Trofeo|Car|Black|15000|130000.0
23456|2019|Porsche|Panamera Turbo S|Car|Silver|12000|170000.0
67890|2022|Audi|RS Q8|SUV|Black|15000|150000.0
12345|2023|BMW|X5 M Competition|SUV|Blue|12000|120000.0
56789|2023|Mercedes-Benz|G63 AMG|SUV|Black|15000|170000.0
90123|2022|Bentley|Bentayga|SUV|Red|15000|180000.0
34567|2020|Rolls-Royce|Ghost|Car|White|15000|300000.0
78901|2021|Maserati|Quattroporte Trofeo|Car|Black|15000|130000.0
